mcp_server_name,Type,median_purpose_score
12306-mcp,community,3.333333333
Airbnb MCP Server,official,2.166666667
Ant Design Components MCP Service,community,2.833333333
arxiv-mcp-server,community,2
Asset Price MCP Server (asset-price-mcp),community,2.666666667
Baige (ygocdb.com) MCP Server,community,2
basic-memory,official,2.666666667
Bazi MCP (八字 MCP) by Cantian AI,community,2
Bing_CN_MCP,community,2.333333333
BioMCP: Biomedical Model Context Protocol,official,4.333333333
blender,community,2.666666667
book,community,3
airbnb,official,2.3333333
calculator,community,2
Context7 MCP - Up-to-date Code Docs For Any Prompt,official,4.166666667
crm_bench,community,3
Crypto Price & Market Analysis MCP Server,community,2
Data.gov MCP Server,community,2
date,community,3.333333333
Deepwiki MCP Server,community,2
Desktop Commander MCP,community,4.333333333
docker-mcp,community,2
Drawing MCP Server,community,2.5
duckduckgo-search MCP Server,community,4
echo,community,2
Excel MCP Server,community,2
Exchange Rate MCP Server,community,3.666666667
fetch,community,2.666666667
Fetch MCP Server,official,2.666666667
filesystem,official,4
Filesystem MCP Server,official,4
firecrawl-mcp,official,4.333333333
github,official,2
google-maps,community,2
google-search,community,2.666666667
google-sheets,community,3
Hacker News MCP Server,official,2
healthcare,community,3
HowToCook-MCP Server,community,2.333333333
Hugeicons MCP Server,official,2.333333333
investor,community,2
Knowledge Graph Memory Server,official,2
kospi-kosdaq-stock-server,community,3.666666667
magicuidesign_mcp,official,2
Maven Dependencies MCP Server,community,2.333333333
MCP Chess Server,community,3.166666667
MCP Image Extractor,community,4
MCP Music Analysis,community,2.666666667
MCP NPX Fetch,community,2.333333333
MCP OKPPT Server,community,2.833333333
MCP Server Chart,official,3
MCP Server LeetCode,community,1
MCP Server: Mermaid Validator,community,2.666666667
MCP TaskManager,community,3.333333333
MCP Text Editor Server,community,4
MCP Weather Free,community,3.333333333
MCP Yahoo Finance,community,2
mcp-github-trending MCP Server,community,2
playwright-mcp-server-executeautomation,community,2
mcp-server-git: A git MCP server,community,2
mcp-simple-arxiv,community,2.5
Calculator MCP Server,community,2
Met Museum MCP Server,community,2.333333333
MetaTag Genie,community,2.333333333
Mindmap MCP Server,community,2.666666667
notion,official,1.666666667
NPM Sentinel MCP,community,2
Office-PowerPoint-MCP-Server,community,2
Office-Word-MCP-Server,community,2
OP.GG MCP Server,official,2
OpenStreetMap (OSM) MCP Server,community,4.666666667
paypal-unofficial,community,3.166666667
paypal-official,official,2
PDF Reader MCP Server,official,2.666666667
playwright,official,2
Playwright MCP Server,community,2
postgres,community,2
Puppeteer,community,2
Random Number MCP,community,3.333333333
mcp-google-search,community,2.166666667
Sequential Thinking MCP Server,official,5
shadcn-ui MCP Server,community,2
Simple Document Processing MCP Server,community,2
Sitemap MCP Server,community,2.166666667
slack,community,2
special_calculator,community,2.666666667
sports,community,3
sqlite,community,2.833333333
nationalparks,community,2
tavily-remote,official,4.5
time,official,2
travel_assistant,community,3.5
Trends Hub,community,2.666666667
weather,community,2.166666667
Web3 Research MCP,community,1
Whois MCP,community,2
wikipedia,community,2.333333333
Wikipedia MCP Server,community,2
Yahoo Finance MCP Server,community,2.666666667
yfinance,community,3.333333333
youtube,community,2.833333333
YouTube Transcript Server,community,2.333333333
鸣潮 MCP Server,community,3
brave-search,official,4.166666667
ddg-search,community,2.333333333
exa,official,3.166666667
firecrawl-mcp,official,4.666666667
