domain,Model,FR_success,BC_success,FR_only,BC_only,Both,None,chi2,p_value,phi_signed,BC_more_than_FR
3d_design,Qwen3-Coder,4,5,0,1,4,14,9.781607142857144,0.001762661785974913,3.1275560974756544,True
financial_analysis,GPT-4.1,23,27,2,6,21,11,11.542031900088164,0.000680402370725816,1.2011469466768088,True
location_navigation,GPT-4.1,14,12,5,3,9,28,12.047091013824886,0.0005187326606447756,-1.2271456216472887,False
repository_management,Qwen3-Coder,6,7,0,1,6,26,21.78090659340659,3.0562652755407172e-06,4.6670018848728345,True
web_search,GLM-4.5,10,10,4,4,6,41,11.1375,0.0008459983322773784,0.0,False
