domain,Model,FR_success,BC_success,FR_only,BC_only,Both,None,chi2,p_value,phi_signed,BC_more_than_FR,BC_statistically_better
3d_design,Qwen3-Coder,4,5,0,1,4,14,9.781607142857144,0.001762661785974913,0.8640987597877148,True,True
financial_analysis,GPT-4.1,23,27,2,6,21,11,11.542031900088164,0.000680402370725816,0.5911561035156879,True,True
location_navigation,GPT-4.1,14,12,5,3,9,28,12.047091013824886,0.0005187326606447756,0.571683803493863,False,False
repository_management,Qwen3-Coder,6,7,0,1,6,26,21.78090659340659,3.0562652755407172e-06,0.9085135251589957,True,True
web_search,GLM-4.5,10,10,4,4,6,41,11.1375,0.0008459983322773784,0.5111111111111111,False,False
