mcp_server_name,Type,median_purpose_score,median_usage_guideline_score,median_limitation_score,median_parameter_explanation_score,median_examples_score,median_length_score
special_calculator,community,2.67,1.00,1.00,1.00,1.50,2.00
sports,community,3.00,2.00,1.67,3.17,1.67,2.17
sqlite,community,2.83,1.33,1.50,1.83,1.33,2.00
tavily-remote,official,4.50,3.50,2.50,1.33,4.00,3.67
time,official,2.00,1.00,1.00,1.00,1.00,1.33
travel_assistant,community,3.50,2.00,2.00,3.33,2.67,2.83
Trends Hub,community,2.67,1.00,1.00,1.00,1.00,2.00
weather,community,2.17,1.17,1.17,2.67,1.50,1.83
Web3 Research MCP,community,1.00,1.00,1.00,1.00,1.00,1.00
Whois MCP,community,2.00,1.00,1.00,1.00,1.00,1.33
wikipedia,community,2.33,1.00,1.00,2.33,1.33,2.00
Wikipedia MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Yahoo Finance MCP Server,community,2.67,1.33,1.33,1.00,1.67,2.00
yfinance,community,3.33,1.67,1.33,3.67,2.33,2.33
youtube,community,2.83,1.83,1.50,3.00,1.50,2.17
YouTube Transcript Server,community,2.33,1.33,1.33,1.00,1.00,1.33
鸣潮 MCP Server,community,3.00,2.00,2.00,3.00,2.33,2.33
brave-search,official,4.166666667,,,,,
ddg-search,community,2.333333333,,,,,
exa,official,3.166666667,,,,,
firecrawl-mcp,official,4.666666667,,,,,
